,n robots,n pos,longest path,n vcs,n robots had vcs,n ecs,n robots had ecs,n fake ecs,n robots had fake ecs
BM1,1,5,5,0,0,0,0,0,0
BM2,2,14,7,0,0,2,2,0,0
BM3,2,10,5,1,2,0,0,0,0
BM4,4,8,2,1,4,0,0,0,0
BM5,2,10,5,2,2,0,0,0,0
BM6,4,12,3,2,4,0,0,0,0
BM7,3,15,5,3,3,0,0,0,0
BM8,6,48,9,9,6,0,0,0,0
BM9,3,19,7,3,2,0,0,0,0
BM10,3,13,5,1,2,2,2,0,0
BM11,3,17,6,4,2,0,0,0,0
BM12,2,13,8,1,0,0,0,0,0
BM13,10,341,48,102,8,0,0,0,0
BM14,20,684,55,135,14,26,12,24,12
BM15,2,8,4,1,2,0,0,2,2
BM16,3,19,7,0,0,4,3,0,0
BM17,7,68,17,2,4,6,5,2,2
BM18,4,28,7,9,4,0,0,2,4
BM19,8,72,10,22,8,4,8,4,8
BM20,20,244,13,25,20,0,0,20,20
BM21,12,104,9,13,12,0,0,20,12
BM22,32,983,36,122,32,0,0,0,0
BM23,16,327,22,56,16,0,0,0,0
BM24,8,116,16,26,8,0,0,0,0
BM25,30,618,30,33,15,8,7,2,2
BM26,30,615,26,126,28,40,26,42,27
