,total
BM1,0.0010108947753906007
BM2,-0.0019187927246093993
BM3,-0.0009384155273437014
BM4,-0.0010089874267578004
BM5,-0.0009746551513671996
BM6,-0.0039405822753907
BM7,-0.0009613037109375
BM8,-0.003438949584961
BM9,-0.0029735565185546996
BM10,-0.002054214477539099
BM11,-0.0049915313720703
BM12,-0.000980377197265599
BM13,-0.7716560363769531
BM14,9.536743164090256e-06
BM15,-0.0010185241699218993
BM16,0.0019989013671875
BM17,0.004045486450195299
BM18,0.0011119842529296008
BM19,-0.004508972167968799
BM20,-0.0029888153076172014
BM21,-0.003000259399414
BM22,-0.17237281799316406
BM23,-0.011739730834960882
BM24,-0.007602691650390701
BM25,-0.006982803344726604
BM26,-0.004051208496093799
